"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;4;0;1;1;1;1;true;6068;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;7;3;1;1;3;3;true;1428;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;7;3;1;1;2;2;true;1815;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;4;0;1;1;2;2;true;5672;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;4;0;1;1;5;5;true;3284;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;1;3;1;1;3;3;true;2979;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;5;1;1;1;3;3;true;2480;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;5;1;1;1;1;1;true;2023;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;1;3;1;1;7;7;true;2499;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;2;2;1;1;5;5;true;2115;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;6;2;1;1;5;5;true;3208;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;6;2;1;1;6;6;true;3920;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;5;1;1;1;3;3;true;2656;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;2;2;1;1;6;6;true;2516;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;2;2;1;1;7;7;true;1759;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;6;2;1;1;6;6;true;4100;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;4;0;1;1;6;6;true;2376;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;5;1;1;1;2;2;true;2292;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;4;0;1;1;7;7;true;3440;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;7;3;1;1;7;7;true;2356;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;6;2;1;1;2;2;true;1465;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;4;0;1;1;1;1;true;1728;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;1;3;1;1;4;4;true;3965;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;4;0;1;1;1;1;true;3972;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;4;0;1;1;3;3;true;2417;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;4;0;1;1;2;2;true;2424;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;6;2;1;1;6;6;true;1676;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;1;3;1;1;1;1;true;1540;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;6;2;1;1;1;1;true;2136;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;3;1;1;1;6;6;true;4240;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;5;1;1;1;3;3;true;1768;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;1;3;1;1;2;2;true;1300;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;5;1;1;1;7;7;true;3824;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;6;2;1;1;5;5;true;2888;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;4;0;1;1;1;1;true;5072;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;5;1;1;1;4;4;true;1525;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;4;0;1;1;1;1;true;4464;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;5;1;1;1;6;6;true;2519;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;1;3;1;1;5;5;true;1504;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;6;2;1;1;5;5;true;2008;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;6;2;1;1;4;4;true;2205;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;2;2;1;1;6;6;true;1787;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;4;0;1;1;2;2;true;6066;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;1;3;1;1;5;5;true;2216;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;7;3;1;1;6;6;true;2017;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;1;3;1;1;5;5;true;1648;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;3;1;1;1;5;5;true;4576;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;1;3;1;1;3;3;true;1379;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;5;1;1;1;2;2;true;2864;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;2;2;1;1;7;7;true;2040;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;3;1;1;1;2;2;true;2013;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;4;0;1;1;2;2;true;2836;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;1;3;1;1;1;1;true;1072;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;6;2;1;1;4;4;true;1422;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;7;3;1;1;3;3;true;2260;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;5;1;1;1;1;1;true;1869;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;6;2;1;1;3;3;true;1552;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;3;1;1;1;1;1;true;2096;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;6;2;1;1;1;1;true;1459;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;7;3;1;1;1;1;true;1917;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;6;2;1;1;7;7;true;2590;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;6;2;1;1;1;1;true;1720;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;1;3;1;1;2;2;true;1424;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;4;0;1;1;7;7;true;2328;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;1;3;1;1;6;6;true;1781;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;3;1;1;1;3;3;true;1529;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;3;1;1;1;1;1;true;1716;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;7;3;1;1;4;4;true;1997;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;2;2;1;1;7;7;true;61824;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;3;1;1;1;3;3;true;1724;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;4;0;1;1;3;3;true;2981;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;6;2;1;1;3;3;true;1718;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;6;2;1;1;5;5;true;2187;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;6;2;1;1;5;5;true;1355;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;3;1;1;1;1;1;true;4048;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;5;1;1;1;4;4;true;10013;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;1;3;1;1;5;5;true;21352;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;1;3;1;1;6;6;true;3724;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;2;2;1;1;3;3;true;1620;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;4;0;1;1;5;5;true;15569;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;2;2;1;1;6;6;true;4257;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;2;2;1;1;3;3;true;1317;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;5;1;1;1;4;4;true;2181;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;6;2;1;1;4;4;true;4444;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;5;1;1;1;1;1;true;2385;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;2;2;1;1;1;1;true;2839;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;1;3;1;1;5;5;true;1624;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;5;1;1;1;6;6;true;2737;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;4;0;1;1;1;1;true;4860;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;7;3;1;1;1;1;true;1742;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;6;2;1;1;2;2;true;1728;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;6;2;1;1;2;2;true;1620;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;5;1;1;1;2;2;true;2212;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;5;1;1;1;3;3;true;3575;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;4;0;1;1;2;2;true;2800;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;1;3;1;1;2;2;true;1568;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;7;3;1;1;5;5;true;3240;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;7;3;1;1;4;4;true;3365;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;2;2;1;1;4;4;true;1983;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;1;3;1;1;2;2;true;2305;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;3;1;1;1;2;2;true;2916;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;4;0;1;1;5;5;true;2970;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;6;2;1;1;2;2;true;1485;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;3;1;1;1;1;1;true;1340;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;2;2;1;1;3;3;true;1260;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;5;1;1;1;7;7;true;5609;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;2;2;1;1;3;3;true;1479;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;6;2;1;1;7;7;true;3241;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;3;1;0;1;4;7;false;6837;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;3;1;1;1;4;4;true;4932;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;7;3;1;1;5;5;true;1348;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;2;2;1;1;6;6;true;2852;
"between 25 and (excluding) 30";"Other";"I do not study";"none";Dynamic;5;1;1;1;2;2;true;1980;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;5;1;1;1;7;7;true;3284;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;6;2;1;1;2;2;true;2784;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;3;1;1;1;5;5;true;4644;
"between 25 and (excluding) 30";"Other";"I do not study";"none";6;1;3;1;1;4;4;true;3581;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;7;3;1;1;1;1;true;8036;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;5;1;1;1;5;5;true;3025;
"between 25 and (excluding) 30";"Other";"I do not study";"none";4;5;1;1;1;3;3;true;2808;
"between 25 and (excluding) 30";"Other";"I do not study";"none";2;2;2;1;1;6;6;true;1961;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;7;3;1;1;2;2;true;1487;
"between 25 and (excluding) 30";"Other";"I do not study";"none";8;1;3;1;1;1;1;true;1385;
"between 25 and (excluding) 30";"Other";"I do not study";"none";10;7;3;1;1;7;7;true;1520;
