"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"40 or older";"Teacher";"I do not study";"none";4;4;0;1;1;1;1;true;1959;
"40 or older";"Teacher";"I do not study";"none";4;7;3;1;1;3;3;true;1231;
"40 or older";"Teacher";"I do not study";"none";2;7;3;1;1;2;2;true;1262;
"40 or older";"Teacher";"I do not study";"none";2;4;0;0;1;2;1;false;2375;
"40 or older";"Teacher";"I do not study";"none";8;4;0;1;1;5;5;true;1480;
"40 or older";"Teacher";"I do not study";"none";10;1;3;0;1;3;2;false;1084;
"40 or older";"Teacher";"I do not study";"none";8;5;1;1;1;3;3;true;1333;
"40 or older";"Teacher";"I do not study";"none";4;5;1;1;1;1;1;true;1303;
"40 or older";"Teacher";"I do not study";"none";10;1;3;1;1;7;7;true;1299;
"40 or older";"Teacher";"I do not study";"none";2;2;2;1;1;5;5;true;1808;
"40 or older";"Teacher";"I do not study";"none";4;6;2;1;1;5;5;true;1218;
"40 or older";"Teacher";"I do not study";"none";2;6;2;1;1;6;6;true;1902;
"40 or older";"Teacher";"I do not study";"none";6;5;1;1;1;3;3;true;1289;
"40 or older";"Teacher";"I do not study";"none";10;2;2;1;1;6;6;true;1425;
"40 or older";"Teacher";"I do not study";"none";Dynamic;2;2;1;1;7;7;true;1122;
"40 or older";"Teacher";"I do not study";"none";2;6;2;1;1;6;6;true;1739;
"40 or older";"Teacher";"I do not study";"none";4;4;0;1;1;6;6;true;1417;
"40 or older";"Teacher";"I do not study";"none";2;5;1;1;1;2;2;true;2077;
"40 or older";"Teacher";"I do not study";"none";2;4;0;1;1;7;7;true;2079;
"40 or older";"Teacher";"I do not study";"none";6;7;3;1;1;7;7;true;1058;
"40 or older";"Teacher";"I do not study";"none";6;6;2;1;1;2;2;true;1083;
"40 or older";"Teacher";"I do not study";"none";10;4;0;1;1;1;1;true;970;
"40 or older";"Teacher";"I do not study";"none";10;1;3;1;1;4;4;true;1492;
"40 or older";"Teacher";"I do not study";"none";2;4;0;1;1;1;1;true;2636;
"40 or older";"Teacher";"I do not study";"none";6;4;0;1;1;3;3;true;1131;
"40 or older";"Teacher";"I do not study";"none";4;4;0;0;1;2;7;false;1911;
"40 or older";"Teacher";"I do not study";"none";6;6;2;0;1;6;5;false;1352;
"40 or older";"Teacher";"I do not study";"none";Dynamic;1;3;1;1;1;1;true;777;
"40 or older";"Teacher";"I do not study";"none";4;6;2;1;1;1;1;true;1187;
"40 or older";"Teacher";"I do not study";"none";10;3;1;0;1;6;7;false;1301;
"40 or older";"Teacher";"I do not study";"none";8;5;1;1;1;3;3;true;1228;
"40 or older";"Teacher";"I do not study";"none";8;1;3;1;1;2;2;true;970;
"40 or older";"Teacher";"I do not study";"none";10;5;1;1;1;7;7;true;1367;
"40 or older";"Teacher";"I do not study";"none";Dynamic;6;2;0;1;5;6;false;1662;
"40 or older";"Teacher";"I do not study";"none";6;4;0;1;1;1;1;true;1489;
"40 or older";"Teacher";"I do not study";"none";10;5;1;0;1;4;5;false;1335;
