"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";4;4;0;1;1;1;1;true;4578;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";4;7;3;1;1;3;3;true;1626;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";2;7;3;1;1;2;2;true;1810;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";2;4;0;1;1;2;2;true;4946;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";8;4;0;1;1;5;5;true;4711;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";10;1;3;1;1;3;3;true;1470;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";8;5;1;1;1;3;3;true;1778;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";4;5;1;1;1;1;1;true;1603;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";10;1;3;1;1;7;7;true;1628;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";2;2;2;1;1;5;5;true;2849;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";4;6;2;1;1;5;5;true;1904;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";2;6;2;1;1;6;6;true;1862;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";6;5;1;1;1;3;3;true;2255;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";10;2;2;1;1;6;6;true;1547;
