"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;4;0;1;1;1;1;true;4813;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;7;3;1;1;3;3;true;1587;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;7;3;1;1;2;2;true;1711;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;4;0;1;1;2;2;true;17677;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;4;0;1;1;5;5;true;1938;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;1;3;1;1;3;3;true;2140;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;5;1;1;1;3;3;true;1605;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;5;1;1;1;1;1;true;2412;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;1;3;1;1;7;7;true;1827;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;2;2;1;1;5;5;true;2156;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;6;2;1;1;5;5;true;1792;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;6;2;1;1;6;6;true;4578;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;5;1;1;1;3;3;true;1648;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;2;2;1;1;6;6;true;1976;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;2;2;1;1;7;7;true;1592;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;6;2;1;1;6;6;true;6044;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;4;0;1;1;6;6;true;7254;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;5;1;1;1;2;2;true;6746;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;4;0;1;1;7;7;true;7414;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;7;3;1;1;7;7;true;1889;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;6;2;1;1;2;2;true;1332;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;4;0;1;1;1;1;true;1971;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;1;3;1;1;4;4;true;1508;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;4;0;1;1;1;1;true;6402;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;4;0;1;1;3;3;true;1442;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;4;0;1;1;2;2;true;3900;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;6;2;1;1;6;6;true;1752;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;1;3;1;1;1;1;true;1245;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;6;2;1;1;1;1;true;1547;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;3;1;1;1;6;6;true;1837;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;5;1;1;1;3;3;true;1724;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;1;3;1;1;2;2;true;1768;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;5;1;1;1;7;7;true;1743;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;6;2;1;1;5;5;true;1529;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;4;0;1;1;1;1;true;1763;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;5;1;1;1;4;4;true;1548;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;4;0;1;1;1;1;true;24178;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;5;1;1;1;6;6;true;1518;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;1;3;1;1;5;5;true;1462;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;6;2;1;1;5;5;true;3544;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;6;2;1;1;4;4;true;3934;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;2;2;1;1;6;6;true;1969;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;4;0;1;1;2;2;true;1455;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;1;3;1;1;5;5;true;1861;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;7;3;1;1;6;6;true;1604;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;1;3;1;1;5;5;true;1446;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;3;1;1;1;5;5;true;3265;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;1;3;1;1;3;3;true;1662;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;5;1;1;1;2;2;true;4027;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;2;2;1;1;7;7;true;2213;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;3;1;1;1;2;2;true;3016;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;4;0;1;1;2;2;true;1329;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;1;3;1;1;1;1;true;990;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;6;2;1;1;4;4;true;1747;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;7;3;1;1;3;3;true;1673;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;5;1;1;1;1;1;true;1347;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;6;2;1;1;3;3;true;2920;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;3;1;1;1;1;1;true;1276;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;6;2;1;1;1;1;true;1320;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;7;3;1;1;1;1;true;1108;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;6;2;1;1;7;7;true;2260;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;6;2;1;1;1;1;true;1911;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;1;3;1;1;2;2;true;1797;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;4;0;1;1;7;7;true;5081;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;1;3;1;1;6;6;true;2284;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;3;1;1;1;3;3;true;1900;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;3;1;1;1;1;1;true;1963;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;7;3;1;1;4;4;true;1419;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;2;2;1;1;7;7;true;1937;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;3;1;1;1;3;3;true;8419;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;4;0;1;1;3;3;true;1221;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;6;2;1;1;3;3;true;1478;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;6;2;1;1;5;5;true;1814;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;6;2;1;1;5;5;true;4063;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;3;1;1;1;1;1;true;1935;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;5;1;1;1;4;4;true;4973;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;1;3;1;1;5;5;true;1505;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;1;3;1;1;6;6;true;2230;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;2;2;1;1;3;3;true;1332;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;4;0;1;1;5;5;true;1850;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;2;2;1;1;6;6;true;2761;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;2;2;1;1;3;3;true;1615;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;5;1;1;1;4;4;true;5496;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;6;2;1;1;4;4;true;1596;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;5;1;1;1;1;1;true;1955;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;2;2;1;1;1;1;true;1543;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;1;3;1;1;5;5;true;1346;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;5;1;1;1;6;6;true;2053;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;4;0;1;1;1;1;true;1497;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;7;3;1;1;1;1;true;998;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;6;2;1;1;2;2;true;1124;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;6;2;1;1;2;2;true;2518;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;5;1;1;1;2;2;true;1254;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;5;1;1;1;3;3;true;1970;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;4;0;1;1;2;2;true;1177;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;1;3;1;1;2;2;true;1422;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;7;3;1;1;5;5;true;1365;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;7;3;0;1;4;3;false;1151;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;2;2;1;1;4;4;true;3855;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;1;3;1;1;2;2;true;1420;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;3;1;1;1;2;2;true;4288;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;4;0;1;1;5;5;true;1656;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;6;2;1;1;2;2;true;2274;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;3;1;1;1;1;1;true;1982;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;2;2;1;1;3;3;true;1260;
