"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";4;4;0;1;1;1;1;true;4318;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";4;7;3;1;1;3;3;true;1139;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";2;7;3;1;1;2;2;true;1366;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";2;4;0;1;1;2;2;true;6723;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";8;4;0;1;1;5;5;true;1503;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";10;1;3;1;1;3;3;true;1342;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";8;5;1;1;1;3;3;true;2136;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";4;5;1;1;1;1;1;true;6534;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";10;1;3;1;1;7;7;true;1757;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";2;2;2;1;1;5;5;true;1568;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";4;6;2;1;1;5;5;true;3494;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";2;6;2;1;1;6;6;true;2821;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";6;5;1;1;1;3;3;true;1841;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";10;2;2;1;1;6;6;true;1709;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Dynamic;2;2;1;1;7;7;true;2296;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";2;6;2;1;1;6;6;true;5695;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";4;4;0;1;1;6;6;true;3745;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";2;5;1;1;1;2;2;true;3079;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";2;4;0;1;1;7;7;true;4201;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";6;7;3;1;1;7;7;true;1528;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";6;6;2;1;1;2;2;true;2719;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";10;4;0;1;1;1;1;true;1542;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";10;1;3;1;1;4;4;true;1294;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";2;4;0;1;1;1;1;true;3561;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";6;4;0;1;1;3;3;true;1551;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";4;4;0;1;1;2;2;true;3284;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";6;6;2;1;1;6;6;true;1777;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Dynamic;1;3;1;1;1;1;true;1086;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";4;6;2;1;1;1;1;true;2373;
