"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;2119;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;14;3;1;65;95;1;1;1;1;true;1033;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1189;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;14;4;0;0;100;1;1;2;2;true;1195;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;Dynamic;6;2;65;95;1;1;3;3;true;1206;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;14;3;1;0;100;1;1;1;1;true;967;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;14;2;2;65;95;1;1;3;3;true;1759;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1326;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;6;4;0;65;95;1;1;4;4;true;1937;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;10;6;2;65;95;1;1;1;1;true;1131;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;14;4;0;65;95;1;1;2;2;true;1167;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;6;5;1;0;100;1;1;1;1;true;954;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;14;4;0;0;100;1;1;5;5;true;1391;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;1353;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;14;5;1;0;100;1;1;1;1;true;771;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;10;5;1;0;100;1;1;7;7;true;1388;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;1326;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;14;5;1;65;95;1;1;6;6;true;1699;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;10;4;0;65;95;1;1;5;5;true;1193;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;6;3;1;65;95;1;1;6;6;true;1398;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;10;6;2;0;100;1;1;1;1;true;1003;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;10;2;2;65;95;1;1;6;6;true;1688;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;Dynamic;3;1;65;95;1;1;7;7;true;1199;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;14;4;0;65;95;1;1;2;2;true;1307;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;10;6;2;65;95;1;1;6;6;true;1421;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;10;3;1;0;100;1;1;2;2;true;1213;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;10;6;2;65;95;1;1;4;4;true;1356;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;6;2;2;65;95;1;1;5;5;true;1680;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;10;4;0;0;100;1;1;6;6;true;1354;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;6;4;0;0;100;1;1;3;3;true;1401;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;6;5;1;0;100;1;1;2;2;true;1072;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;6;4;0;0;100;1;1;6;6;true;1423;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;Dynamic;3;1;65;95;1;1;4;4;true;1471;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;6;2;2;65;95;1;1;4;4;true;1509;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;6;2;0;100;1;1;1;1;true;978;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;10;4;0;65;95;1;1;5;5;true;1613;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;10;4;0;65;95;1;1;1;1;true;851;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;10;5;1;0;100;1;1;1;1;true;927;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;2;2;0;100;1;1;7;7;true;1250;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Noise;10;5;1;65;95;1;1;6;6;true;1326;
