"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1039;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;14;3;1;65;95;1;1;1;1;true;620;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;693;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;4;0;0;100;1;1;2;2;true;554;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;6;2;65;95;1;1;3;3;true;855;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;3;1;0;100;1;1;1;1;true;635;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;14;2;2;65;95;1;1;3;3;true;1244;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1070;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;6;4;0;65;95;1;1;4;4;true;1267;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;10;6;2;65;95;1;1;1;1;true;850;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;14;4;0;65;95;1;1;2;2;true;919;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;5;1;0;100;1;1;1;1;true;828;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;4;0;0;100;1;1;5;5;true;753;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;703;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;5;1;0;100;1;1;1;1;true;775;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;5;1;0;100;1;1;7;7;true;1296;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;973;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;14;5;1;65;95;1;1;6;6;true;871;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;10;4;0;65;95;1;1;5;5;true;1142;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;6;3;1;65;95;1;1;6;6;true;1248;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;6;2;0;100;1;1;1;1;true;839;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;10;2;2;65;95;1;1;6;6;true;1069;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;3;1;65;95;1;1;7;7;true;1096;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;14;4;0;65;95;1;1;2;2;true;794;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;10;6;2;65;95;1;1;6;6;true;741;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;3;1;0;100;1;1;2;2;true;914;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;10;6;2;65;95;1;1;4;4;true;962;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;6;2;2;65;95;1;1;5;5;true;1418;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;4;0;0;100;1;1;6;6;true;782;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;4;0;0;100;1;1;3;3;true;1223;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;5;1;0;100;1;1;2;2;true;645;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;4;0;0;100;1;1;6;6;true;866;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;3;1;65;95;1;1;4;4;true;1013;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;6;2;2;65;95;1;1;4;4;true;1324;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;6;2;0;100;1;1;1;1;true;911;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;10;4;0;65;95;1;1;5;5;true;742;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;10;4;0;65;95;1;1;1;1;true;799;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;5;1;0;100;1;1;1;1;true;719;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;2;2;0;100;1;1;7;7;true;1085;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;10;5;1;65;95;1;1;6;6;true;953;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;2;2;0;100;1;1;6;6;true;1084;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;6;2;0;100;1;1;7;7;true;953;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;6;2;0;100;1;1;3;3;true;971;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;14;5;1;65;95;1;1;2;2;true;852;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;5;1;65;95;1;1;3;3;true;843;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;3;1;0;100;1;1;3;3;true;770;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;10;5;1;65;95;1;1;4;4;true;833;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;14;3;1;65;95;1;1;4;4;true;908;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;14;3;1;65;95;0;1;5;3;false;1080;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;4;0;0;100;1;1;4;4;true;1626;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Noise;14;3;1;65;95;1;1;3;3;true;865;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;2;2;true;842;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;6;2;0;100;1;1;6;6;true;1057;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;3;1;0;100;1;1;3;3;true;1136;
