"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1147;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Noise;14;3;1;65;95;1;1;1;1;true;1156;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;982;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";No_Noise;14;4;0;0;100;1;1;2;2;true;1026;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Noise;Dynamic;6;2;65;95;1;1;3;3;true;935;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";No_Noise;14;3;1;0;100;1;1;1;1;true;1149;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Noise;14;2;2;65;95;1;1;3;3;true;1234;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1598;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Noise;6;4;0;65;95;1;1;4;4;true;1462;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Noise;10;6;2;65;95;1;1;1;1;true;932;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Noise;14;4;0;65;95;1;1;2;2;true;1462;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";No_Noise;6;5;1;0;100;1;1;1;1;true;1101;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";No_Noise;14;4;0;0;100;1;1;5;5;true;1153;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;1308;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";No_Noise;14;5;1;0;100;1;1;1;1;true;1097;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";No_Noise;10;5;1;0;100;1;1;7;7;true;1578;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;1603;
