"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1822;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";Noise;14;3;1;65;95;1;1;1;1;true;1167;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1121;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";No_Noise;14;4;0;0;100;1;1;2;2;true;792;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";Noise;Dynamic;6;2;65;95;1;1;3;3;true;1043;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";No_Noise;14;3;1;0;100;1;1;1;1;true;1107;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";Noise;14;2;2;65;95;1;1;3;3;true;1152;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1778;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";Noise;6;4;0;65;95;1;1;4;4;true;1496;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";Noise;10;6;2;65;95;1;1;1;1;true;951;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";Noise;14;4;0;65;95;1;1;2;2;true;777;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 3 years, but less than or equal 5 year";No_Noise;6;5;1;0;100;1;1;1;1;true;1153;
