Age;Status;Studies;YearsOfExperience;Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;5;1;0;100;1;1;3;3;TRUE;1463
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;3;1;65;95;1;1;1;1;TRUE;1285
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;5;1;0;100;1;1;3;3;TRUE;1097
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;4;0;0;100;1;1;2;2;TRUE;1387
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;Dynamic;6;2;65;95;1;1;3;3;TRUE;1384
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;3;1;0;100;1;1;1;1;TRUE;1230
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;2;2;65;95;1;1;3;3;TRUE;2132
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;2;2;0;100;1;1;6;6;TRUE;1643
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;4;0;65;95;1;1;4;4;TRUE;1560
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;6;2;65;95;1;1;1;1;TRUE;1391
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;4;0;65;95;1;1;2;2;TRUE;1074
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;6;5;1;0;100;1;1;1;1;TRUE;1239
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;4;0;0;100;1;1;5;5;TRUE;1164
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;6;2;0;100;1;1;5;5;TRUE;1259
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;14;5;1;0;100;1;1;1;1;TRUE;1292
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;10;5;1;0;100;1;1;7;7;TRUE;1171
between 25 and (excluding) 30;Other;something else in natural sciences;none;No_Noise;Dynamic;4;0;0;100;1;1;5;5;TRUE;1239
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;14;5;1;65;95;1;1;6;6;TRUE;1798
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;10;4;0;65;95;1;1;5;5;TRUE;1407
between 25 and (excluding) 30;Other;something else in natural sciences;none;Noise;6;3;1;65;95;1;1;6;6;TRUE;1728
