"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;969;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;14;3;1;65;95;1;1;1;1;true;1977;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;738;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;14;4;0;0;100;1;1;2;2;true;703;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;Dynamic;6;2;65;95;1;1;3;3;true;811;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;14;3;1;0;100;1;1;1;1;true;942;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;14;2;2;65;95;1;1;3;3;true;1208;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1335;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;6;4;0;65;95;1;1;4;4;true;1648;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;10;6;2;65;95;1;1;1;1;true;933;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;14;4;0;65;95;0;1;2;3;false;767;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;6;5;1;0;100;1;1;1;1;true;800;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;14;4;0;0;100;1;1;5;5;true;1028;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;669;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;14;5;1;0;100;1;1;1;1;true;845;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;10;5;1;0;100;1;1;7;7;true;1212;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;929;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;14;5;1;65;95;1;1;6;6;true;1164;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;10;4;0;65;95;1;1;5;5;true;926;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;6;3;1;65;95;1;1;6;6;true;1332;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;10;6;2;0;100;1;1;1;1;true;732;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;10;2;2;65;95;1;1;6;6;true;1336;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;Dynamic;3;1;65;95;1;1;7;7;true;985;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;14;4;0;65;95;1;1;2;2;true;666;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;10;6;2;65;95;1;1;6;6;true;1025;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;10;3;1;0;100;1;1;2;2;true;1061;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;10;6;2;65;95;1;1;4;4;true;1129;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;6;2;2;65;95;1;1;5;5;true;1159;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;10;4;0;0;100;1;1;6;6;true;917;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;6;4;0;0;100;1;1;3;3;true;873;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;6;5;1;0;100;1;1;2;2;true;763;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;6;4;0;0;100;0;1;6;5;false;854;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;Dynamic;3;1;65;95;1;1;4;4;true;777;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;6;2;2;65;95;1;1;4;4;true;1879;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;6;2;0;100;1;1;1;1;true;837;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;10;4;0;65;95;1;1;5;5;true;1006;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;10;4;0;65;95;1;1;1;1;true;878;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;10;5;1;0;100;1;1;1;1;true;800;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;2;2;0;100;1;1;7;7;true;1165;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;10;5;1;65;95;1;1;6;6;true;1208;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;6;2;2;0;100;1;1;6;6;true;1358;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;10;6;2;0;100;1;1;7;7;true;1126;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;6;2;0;100;1;1;3;3;true;650;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;14;5;1;65;95;1;1;2;2;true;723;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;Dynamic;5;1;65;95;1;1;3;3;true;824;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;3;1;0;100;1;1;3;3;true;1325;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;10;5;1;65;95;1;1;4;4;true;875;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;14;3;1;65;95;1;1;4;4;true;934;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;14;3;1;65;95;1;1;5;5;true;1011;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;4;0;0;100;1;1;4;4;true;895;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;14;3;1;65;95;1;1;3;3;true;706;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;5;1;0;100;1;1;2;2;true;684;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;10;6;2;0;100;1;1;6;6;true;1173;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;10;3;1;0;100;1;1;3;3;true;914;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;Dynamic;4;0;0;100;1;1;2;2;true;826;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;14;2;2;0;100;1;1;2;2;true;841;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;10;5;1;0;100;1;1;7;7;true;1213;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";No_Noise;14;4;0;0;100;1;1;4;4;true;962;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;10;2;2;65;95;1;1;4;4;true;1046;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Noise;10;5;1;65;95;1;1;5;5;true;975;
