"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;13569;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;14;3;1;65;95;1;1;1;1;true;1993;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1475;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;14;4;0;0;100;1;1;2;2;true;1740;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;Dynamic;6;2;65;95;1;1;3;3;true;2585;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;14;3;1;0;100;1;1;1;1;true;1312;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;14;2;2;65;95;1;1;3;3;true;1416;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;2420;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;6;4;0;65;95;1;1;4;4;true;2957;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;10;6;2;65;95;1;1;1;1;true;1601;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;14;4;0;65;95;1;1;2;2;true;3472;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;6;5;1;0;100;1;1;1;1;true;3798;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;14;4;0;0;100;1;1;5;5;true;1841;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;1500;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;14;5;1;0;100;1;1;1;1;true;1424;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;10;5;1;0;100;1;1;7;7;true;12109;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;1952;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;14;5;1;65;95;1;1;6;6;true;5819;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;10;4;0;65;95;1;1;5;5;true;1656;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;6;3;1;65;95;1;1;6;6;true;1454;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;10;6;2;0;100;1;1;1;1;true;1362;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;10;2;2;65;95;1;1;6;6;true;1886;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;Dynamic;3;1;65;95;1;1;7;7;true;1233;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;14;4;0;65;95;1;1;2;2;true;1044;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;10;6;2;65;95;1;1;6;6;true;1248;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;10;3;1;0;100;1;1;2;2;true;1220;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;10;6;2;65;95;1;1;4;4;true;1331;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;6;2;2;65;95;1;1;5;5;true;1637;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;10;4;0;0;100;1;1;6;6;true;1699;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;6;4;0;0;100;1;1;3;3;true;3644;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;6;5;1;0;100;1;1;2;2;true;1120;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;6;4;0;0;100;1;1;6;6;true;1380;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;Dynamic;3;1;65;95;1;1;4;4;true;1272;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;6;2;2;65;95;1;1;4;4;true;1724;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;Dynamic;6;2;0;100;1;1;1;1;true;4594;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;10;4;0;65;95;1;1;5;5;true;2170;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;10;4;0;65;95;1;1;1;1;true;908;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;10;5;1;0;100;1;1;1;1;true;762;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;Dynamic;2;2;0;100;1;1;7;7;true;1290;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Noise;10;5;1;65;95;1;1;6;6;true;1558;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";No_Noise;6;2;2;0;100;1;1;6;6;true;1261;
