"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1431;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;14;3;1;65;95;1;1;1;1;true;1154;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1297;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;14;4;0;0;100;1;1;2;2;true;983;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;Dynamic;6;2;65;95;1;1;3;3;true;1013;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;14;3;1;0;100;1;1;1;1;true;1002;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;14;2;2;65;95;1;1;3;3;true;1146;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1442;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;6;4;0;65;95;1;1;4;4;true;1296;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;10;6;2;65;95;1;1;1;1;true;1046;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;14;4;0;65;95;1;1;2;2;true;1020;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;6;5;1;0;100;1;1;1;1;true;865;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;14;4;0;0;100;1;1;5;5;true;1125;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;1173;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;14;5;1;0;100;1;1;1;1;true;913;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;10;5;1;0;100;1;1;7;7;true;1215;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;1337;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;14;5;1;65;95;1;1;6;6;true;1088;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;10;4;0;65;95;1;1;5;5;true;1537;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;6;3;1;65;95;1;1;6;6;true;1858;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";No_Noise;10;6;2;0;100;1;1;1;1;true;935;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;10;2;2;65;95;1;1;6;6;true;1522;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;Dynamic;3;1;65;95;1;1;7;7;true;1251;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Noise;14;4;0;65;95;1;1;2;2;true;1286;
