"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1462;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Noise;14;3;1;65;95;1;1;1;1;true;1217;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1012;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;14;4;0;0;100;1;1;2;2;true;1463;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Noise;Dynamic;6;2;65;95;1;1;3;3;true;2140;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;14;3;1;0;100;1;1;1;1;true;1011;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Noise;14;2;2;65;95;1;1;3;3;true;1259;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1375;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Noise;6;4;0;65;95;1;1;4;4;true;3803;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Noise;10;6;2;65;95;1;1;1;1;true;1083;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Noise;14;4;0;65;95;1;1;2;2;true;1504;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;6;5;1;0;100;1;1;1;1;true;1056;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;14;4;0;0;100;1;1;5;5;true;1372;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;1616;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;14;5;1;0;100;1;1;1;1;true;872;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;10;5;1;0;100;1;1;7;7;true;1731;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;1284;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Noise;14;5;1;65;95;1;1;6;6;true;1280;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Noise;10;4;0;65;95;1;1;5;5;true;1720;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Noise;6;3;1;65;95;1;1;6;6;true;2315;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";No_Noise;10;6;2;0;100;1;1;1;1;true;944;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Noise;10;2;2;65;95;1;1;6;6;true;1530;
