"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1184;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;14;3;1;65;95;1;1;1;1;true;1064;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1128;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;14;4;0;0;100;1;1;2;2;true;800;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;Dynamic;6;2;65;95;1;1;3;3;true;976;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;14;3;1;0;100;1;1;1;1;true;888;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;14;2;2;65;95;1;1;3;3;true;1120;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1248;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;6;4;0;65;95;1;1;4;4;true;1240;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;6;2;65;95;1;1;1;1;true;1112;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;14;4;0;65;95;1;1;2;2;true;896;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;6;5;1;0;100;1;1;1;1;true;784;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;14;4;0;0;100;1;1;5;5;true;1112;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;984;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;14;5;1;0;100;1;1;1;1;true;889;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;10;5;1;0;100;1;1;7;7;true;1128;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;960;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;14;5;1;65;95;1;1;6;6;true;1209;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;4;0;65;95;1;1;5;5;true;1320;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;6;3;1;65;95;1;1;6;6;true;1393;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;10;6;2;0;100;1;1;1;1;true;1033;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;2;2;65;95;1;1;6;6;true;1472;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;Dynamic;3;1;65;95;1;1;7;7;true;936;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;14;4;0;65;95;1;1;2;2;true;1201;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;6;2;65;95;1;1;6;6;true;1192;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;10;3;1;0;100;1;1;2;2;true;1121;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;6;2;65;95;1;1;4;4;true;976;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;6;2;2;65;95;1;1;5;5;true;1481;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;10;4;0;0;100;1;1;6;6;true;1080;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;6;4;0;0;100;1;1;3;3;true;1264;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;6;5;1;0;100;1;1;2;2;true;896;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;6;4;0;0;100;1;1;6;6;true;1521;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;Dynamic;3;1;65;95;1;1;4;4;true;952;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;6;2;2;65;95;1;1;4;4;true;1264;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;6;2;0;100;1;1;1;1;true;944;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;4;0;65;95;1;1;5;5;true;1081;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;4;0;65;95;1;1;1;1;true;985;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;10;5;1;0;100;1;1;1;1;true;664;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;2;2;0;100;1;1;7;7;true;1377;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;5;1;65;95;1;1;6;6;true;1488;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;6;2;2;0;100;1;1;6;6;true;1344;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;10;6;2;0;100;1;1;7;7;true;1096;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;6;2;0;100;1;1;3;3;true;1208;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;14;5;1;65;95;1;1;2;2;true;1081;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;Dynamic;5;1;65;95;1;1;3;3;true;888;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;3;1;0;100;1;1;3;3;true;936;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;5;1;65;95;1;1;4;4;true;1048;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;14;3;1;65;95;1;1;4;4;true;904;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;14;3;1;65;95;1;1;5;5;true;1080;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;4;0;0;100;1;1;4;4;true;896;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;14;3;1;65;95;1;1;3;3;true;920;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;5;1;0;100;1;1;2;2;true;1000;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;10;6;2;0;100;1;1;6;6;true;1440;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;10;3;1;0;100;1;1;3;3;true;1000;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;4;0;0;100;1;1;2;2;true;960;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;14;2;2;0;100;1;1;2;2;true;904;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;10;5;1;0;100;1;1;7;7;true;1112;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;14;4;0;0;100;1;1;4;4;true;1072;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;2;2;65;95;1;1;4;4;true;736;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;5;1;65;95;1;1;5;5;true;1008;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;10;3;1;65;95;1;1;2;2;true;1504;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;Dynamic;4;0;65;95;1;1;5;5;true;1112;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;2;2;0;100;1;1;5;5;true;1152;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;Dynamic;3;1;0;100;1;1;2;2;true;1392;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;14;3;1;0;100;1;1;6;6;true;1144;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;6;3;1;0;100;1;1;6;6;true;1168;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;14;5;1;65;95;1;1;7;7;true;1432;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";No_Noise;10;2;2;0;100;1;1;1;1;true;1328;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Noise;6;5;1;65;95;1;1;2;2;true;1368;
