"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1800;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;3;1;65;95;1;1;1;1;true;1291;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1061;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;4;0;0;100;1;1;2;2;true;1080;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;6;2;65;95;1;1;3;3;true;1104;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;3;1;0;100;1;1;1;1;true;1141;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;2;2;65;95;1;1;3;3;true;1580;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1215;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;6;4;0;65;95;1;1;4;4;true;1986;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;6;2;65;95;1;1;1;1;true;1101;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;4;0;65;95;1;1;2;2;true;1001;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;5;1;0;100;1;1;1;1;true;1026;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;4;0;0;100;1;1;5;5;true;1676;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;1155;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;5;1;0;100;1;1;1;1;true;916;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;5;1;0;100;1;1;7;7;true;1530;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;1570;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;5;1;65;95;1;1;6;6;true;961;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;4;0;65;95;1;1;5;5;true;1181;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;6;3;1;65;95;1;1;6;6;true;1876;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;6;2;0;100;1;1;1;1;true;951;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;2;2;65;95;1;1;6;6;true;1256;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;3;1;65;95;1;1;7;7;true;1374;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;4;0;65;95;1;1;2;2;true;1211;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;6;2;65;95;1;1;6;6;true;945;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;3;1;0;100;1;1;2;2;true;1096;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;6;2;65;95;1;1;4;4;true;1385;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;6;2;2;65;95;1;1;5;5;true;2176;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;4;0;0;100;1;1;6;6;true;821;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;4;0;0;100;1;1;3;3;true;1251;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;5;1;0;100;1;1;2;2;true;1340;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;4;0;0;100;1;1;6;6;true;1329;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;3;1;65;95;1;1;4;4;true;1091;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;6;2;2;65;95;1;1;4;4;true;1743;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;6;2;0;100;1;1;1;1;true;1046;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;4;0;65;95;1;1;5;5;true;1405;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;4;0;65;95;1;1;1;1;true;1055;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;5;1;0;100;1;1;1;1;true;915;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;2;2;0;100;1;1;7;7;true;1491;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;5;1;65;95;1;1;6;6;true;1141;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;2;2;0;100;1;1;6;6;true;1500;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;6;2;0;100;1;1;7;7;true;1331;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;6;2;0;100;1;1;3;3;true;1085;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;5;1;65;95;1;1;2;2;true;1471;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;5;1;65;95;1;1;3;3;true;1050;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;3;1;0;100;1;1;3;3;true;1230;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;5;1;65;95;1;1;4;4;true;1070;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;3;1;65;95;1;1;4;4;true;1141;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;3;1;65;95;1;1;5;5;true;1175;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;4;0;0;100;1;1;4;4;true;1040;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;3;1;65;95;1;1;3;3;true;1116;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;2;2;true;1106;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;6;2;0;100;1;1;6;6;true;1020;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;3;1;0;100;1;1;3;3;true;1431;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;4;0;0;100;1;1;2;2;true;1001;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;2;2;0;100;1;1;2;2;true;1060;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;5;1;0;100;1;1;7;7;true;1271;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;4;0;0;100;1;1;4;4;true;1286;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;2;2;65;95;1;1;4;4;true;1396;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;5;1;65;95;1;1;5;5;true;1145;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;3;1;65;95;1;1;2;2;true;1255;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;4;0;65;95;1;1;5;5;true;1260;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;2;2;0;100;1;1;5;5;true;1221;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;3;1;0;100;1;1;2;2;true;1746;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;3;1;0;100;1;1;6;6;true;775;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;3;1;0;100;1;1;6;6;true;1301;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;5;1;65;95;1;1;7;7;true;1556;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;2;2;0;100;1;1;1;1;true;1536;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;6;5;1;65;95;1;1;2;2;true;2786;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;5;1;65;95;1;1;4;4;true;977;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;4;0;0;100;1;1;4;4;true;1205;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;5;1;0;100;1;1;6;6;true;1040;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;3;1;0;100;1;1;5;5;true;1031;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;6;2;0;100;1;1;3;3;true;1146;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;6;2;65;95;1;1;4;4;true;1241;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;Dynamic;3;1;0;100;1;1;6;6;true;2432;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;2;2;0;100;1;1;7;7;true;1871;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;6;2;65;95;1;1;1;1;true;1450;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;2;2;0;100;1;1;7;7;true;1391;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;5;1;65;95;1;1;1;1;true;1345;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;2;2;0;100;1;1;3;3;true;1475;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;4;0;65;95;1;1;4;4;true;1126;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;6;4;0;65;95;1;1;6;6;true;1280;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;3;1;0;100;1;1;7;7;true;1150;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;4;0;65;95;1;1;4;4;true;1151;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;6;2;65;95;1;1;1;1;true;931;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;10;6;2;0;100;1;1;1;1;true;875;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;3;1;65;95;1;1;4;4;true;1595;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;6;5;1;65;95;1;1;7;7;true;1336;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;6;3;1;65;95;1;1;6;6;true;1535;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;3;1;65;95;1;1;4;4;true;1371;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;4;0;65;95;1;1;3;3;true;981;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;6;2;65;95;1;1;1;1;true;815;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;5;1;65;95;1;1;2;2;true;1054;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;5;1;65;95;1;1;7;7;true;1031;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;3;1;65;95;1;1;3;3;true;1450;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;2;2;0;100;1;1;7;7;true;1261;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;2;2;65;95;1;1;7;7;true;925;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;2;2;65;95;1;1;5;5;true;1346;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;2;2;0;100;1;1;5;5;true;990;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;2;2;0;100;1;1;4;4;true;1350;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;2;2;65;95;1;1;5;5;true;1170;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;6;3;1;65;95;1;1;7;7;true;1926;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;2;2;65;95;1;1;4;4;true;1245;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;14;4;0;0;100;1;1;6;6;true;1185;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;2;2;65;95;1;1;7;7;true;980;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";No_Noise;6;4;0;0;100;1;1;3;3;true;1645;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;6;6;2;65;95;1;1;3;3;true;1510;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;2;2;65;95;1;1;3;3;true;1276;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;2;2;65;95;1;1;3;3;true;830;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;14;6;2;65;95;1;1;4;4;true;1210;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;6;2;65;95;1;1;2;2;true;1285;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;10;6;2;65;95;1;1;4;4;true;1531;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Noise;Dynamic;2;2;65;95;1;1;5;5;true;1479;
