"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;2869;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;14;3;1;65;95;1;1;1;1;true;1457;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;2524;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;14;4;0;0;100;1;1;2;2;true;3420;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;Dynamic;6;2;65;95;1;1;3;3;true;1939;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;14;3;1;0;100;1;1;1;1;true;1261;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;14;2;2;65;95;1;1;3;3;true;1365;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;2262;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;6;4;0;65;95;1;1;4;4;true;2446;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;10;6;2;65;95;1;1;1;1;true;1464;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;14;4;0;65;95;1;1;2;2;true;2922;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;6;5;1;0;100;1;1;1;1;true;3961;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;14;4;0;0;100;1;1;5;5;true;1980;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;1516;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;14;5;1;0;100;1;1;1;1;true;1804;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;10;5;1;0;100;1;1;7;7;true;1968;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;2190;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;14;5;1;65;95;1;1;6;6;true;2417;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;10;4;0;65;95;1;1;5;5;true;3990;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;6;3;1;65;95;1;1;6;6;true;2176;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;10;6;2;0;100;1;1;1;1;true;1741;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;10;2;2;65;95;1;1;6;6;true;1693;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;Dynamic;3;1;65;95;1;1;7;7;true;2158;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;14;4;0;65;95;1;1;2;2;true;3044;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;10;6;2;65;95;1;1;6;6;true;1829;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;10;3;1;0;100;1;1;2;2;true;1515;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;10;6;2;65;95;1;1;4;4;true;1903;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;6;2;2;65;95;1;1;5;5;true;1723;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;10;4;0;0;100;1;1;6;6;true;2026;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;6;4;0;0;100;1;1;3;3;true;2775;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;6;5;1;0;100;1;1;2;2;true;2327;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";No_Noise;6;4;0;0;100;1;1;6;6;true;4200;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;Dynamic;3;1;65;95;1;1;4;4;true;2713;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Noise;6;2;2;65;95;1;1;4;4;true;1726;
