"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"40 or older";"Teacher";"I do not study";"none";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1019;
"40 or older";"Teacher";"I do not study";"none";Noise;14;3;1;65;95;1;1;1;1;true;954;
"40 or older";"Teacher";"I do not study";"none";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;872;
"40 or older";"Teacher";"I do not study";"none";No_Noise;14;4;0;0;100;1;1;2;2;true;974;
"40 or older";"Teacher";"I do not study";"none";Noise;Dynamic;6;2;65;95;1;1;3;3;true;931;
"40 or older";"Teacher";"I do not study";"none";No_Noise;14;3;1;0;100;1;1;1;1;true;788;
"40 or older";"Teacher";"I do not study";"none";Noise;14;2;2;65;95;1;1;3;3;true;866;
"40 or older";"Teacher";"I do not study";"none";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1212;
"40 or older";"Teacher";"I do not study";"none";Noise;6;4;0;65;95;1;1;4;4;true;1147;
"40 or older";"Teacher";"I do not study";"none";Noise;10;6;2;65;95;1;1;1;1;true;843;
"40 or older";"Teacher";"I do not study";"none";Noise;14;4;0;65;95;1;1;2;2;true;758;
"40 or older";"Teacher";"I do not study";"none";No_Noise;6;5;1;0;100;1;1;1;1;true;792;
"40 or older";"Teacher";"I do not study";"none";No_Noise;14;4;0;0;100;1;1;5;5;true;1113;
"40 or older";"Teacher";"I do not study";"none";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;838;
"40 or older";"Teacher";"I do not study";"none";No_Noise;14;5;1;0;100;1;1;1;1;true;590;
"40 or older";"Teacher";"I do not study";"none";No_Noise;10;5;1;0;100;1;1;7;7;true;1125;
"40 or older";"Teacher";"I do not study";"none";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;964;
"40 or older";"Teacher";"I do not study";"none";Noise;14;5;1;65;95;1;1;6;6;true;1347;
"40 or older";"Teacher";"I do not study";"none";Noise;10;4;0;65;95;1;1;5;5;true;1888;
"40 or older";"Teacher";"I do not study";"none";Noise;6;3;1;65;95;1;1;6;6;true;1219;
"40 or older";"Teacher";"I do not study";"none";No_Noise;10;6;2;0;100;1;1;1;1;true;854;
"40 or older";"Teacher";"I do not study";"none";Noise;10;2;2;65;95;1;1;6;6;true;1049;
"40 or older";"Teacher";"I do not study";"none";Noise;Dynamic;3;1;65;95;1;1;7;7;true;834;
