"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1979;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";Noise;14;3;1;65;95;1;1;1;1;true;1449;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1487;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;14;4;0;0;100;1;1;2;2;true;1407;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";Noise;Dynamic;6;2;65;95;1;1;3;3;true;1010;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;14;3;1;0;100;1;1;1;1;true;1068;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";Noise;14;2;2;65;95;1;1;3;3;true;1327;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1659;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";Noise;6;4;0;65;95;1;1;4;4;true;3928;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";Noise;10;6;2;65;95;1;1;1;1;true;1539;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";Noise;14;4;0;65;95;1;1;2;2;true;4759;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;6;5;1;0;100;1;1;1;1;true;2572;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;14;4;0;0;100;1;1;5;5;true;1364;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;1430;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;14;5;1;0;100;1;1;1;1;true;1175;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;10;5;1;0;100;1;1;7;7;true;1367;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;1476;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";Noise;14;5;1;65;95;1;1;6;6;true;2769;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";Noise;10;4;0;65;95;1;1;5;5;true;4048;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";Noise;6;3;1;65;95;1;1;6;6;true;1956;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";No_Noise;10;6;2;0;100;1;1;1;1;true;968;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"more than 5 years";Noise;10;2;2;65;95;1;1;6;6;true;1417;
