"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1560;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;14;3;1;65;95;1;1;1;1;true;1129;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;1082;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;14;4;0;0;100;1;1;2;2;true;1055;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;Dynamic;6;2;65;95;1;1;3;3;true;937;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;14;3;1;0;100;1;1;1;1;true;1199;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;14;2;2;65;95;1;1;3;3;true;1030;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;1170;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;6;4;0;65;95;1;1;4;4;true;1171;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;10;6;2;65;95;1;1;1;1;true;1091;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;14;4;0;65;95;1;1;2;2;true;846;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;6;5;1;0;100;1;1;1;1;true;747;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;14;4;0;0;100;1;1;5;5;true;1631;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;879;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;14;5;1;0;100;1;1;1;1;true;878;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;10;5;1;0;100;1;1;7;7;true;1602;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;Dynamic;4;0;0;100;0;1;5;3;false;854;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;14;5;1;65;95;1;1;6;6;true;1409;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;10;4;0;65;95;1;1;5;5;true;1231;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;6;3;1;65;95;1;1;6;6;true;1683;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;10;6;2;0;100;1;1;1;1;true;1068;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;10;2;2;65;95;1;1;6;6;true;1579;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;Dynamic;3;1;65;95;1;1;7;7;true;1407;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;14;4;0;65;95;1;1;2;2;true;1976;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;10;6;2;65;95;1;1;6;6;true;979;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;10;3;1;0;100;1;1;2;2;true;1001;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;10;6;2;65;95;1;1;4;4;true;1022;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;6;2;2;65;95;1;1;5;5;true;1153;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;10;4;0;0;100;1;1;6;6;true;1129;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;6;4;0;0;100;1;1;3;3;true;1038;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;6;5;1;0;100;1;1;2;2;true;835;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;6;4;0;0;100;1;1;6;6;true;942;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;Dynamic;3;1;65;95;1;1;4;4;true;913;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;6;2;2;65;95;1;1;4;4;true;1504;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;Dynamic;6;2;0;100;1;1;1;1;true;1036;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;10;4;0;65;95;1;1;5;5;true;2194;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";Noise;10;4;0;65;95;1;1;1;1;true;1073;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"computer science related (such as information systems, aka WiInf)";"more than 1 year, but less than or equal 3 years";No_Noise;10;5;1;0;100;1;1;1;1;true;900;
