"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;2;3;1;10;1;false;777;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;8;3;1;5;1;false;884;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;3;2;1;10;1;false;899;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;9;4;1;9;1;false;886;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;8;3;1;4;1;false;873;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;4;1;1;7;1;false;1015;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;5;0;1;10;1;false;1015;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;1;4;1;4;1;false;881;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;5;0;1;9;1;false;775;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;7;2;1;2;1;false;740;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;7;2;1;5;1;false;888;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;8;3;1;3;1;false;911;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;7;2;1;10;1;false;908;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;9;4;1;7;1;false;805;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;8;3;1;4;1;false;1069;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;7;2;1;8;1;false;1023;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;7;2;1;4;1;false;840;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;7;2;1;7;1;false;2040;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;9;4;1;4;1;false;939;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;2;3;1;7;1;false;775;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;8;3;1;2;1;false;887;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;7;2;1;1;1;true;890;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;9;4;1;2;1;false;1057;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;4;1;1;8;1;false;1213;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;6;1;1;9;1;false;1110;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;5;0;1;10;1;false;858;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;1;4;1;2;1;false;900;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;6;1;1;6;1;false;1233;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;4;1;1;7;1;false;781;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;6;1;1;9;1;false;1081;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;8;3;1;9;1;false;823;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;3;2;1;5;1;false;953;
