"Age";"Status";"Studies";"YearsOfExperience";version;direction;number_guards;position;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;3;2;1;7;7;true;928;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;1;1;2;2;true;1234;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;3;1;3;3;true;1159;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;2;2;1;5;5;true;1039;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;1;1;1;2;2;true;788;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;2;1;1;7;7;true;982;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;1;1;6;6;true;2050;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;1;1;1;5;5;true;857;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;3;1;7;7;true;845;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;2;1;1;8;8;true;924;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;1;1;3;3;true;1134;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;5;1;4;4;true;1389;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;3;1;2;2;true;981;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;1;1;1;7;7;true;951;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;5;1;6;6;true;1043;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;3;1;0;0;true;1063;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;3;1;0;0;true;757;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;2;1;4;4;true;767;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;4;1;5;5;true;919;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;2;1;9;9;true;1081;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;2;2;1;3;3;true;949;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;3;1;0;0;true;914;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;1;1;7;7;true;822;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;1;1;6;6;true;1263;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;3;1;1;4;4;true;859;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;3;2;1;4;4;true;1231;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;2;1;1;0;0;true;831;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;2;1;6;2;false;1397;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;5;1;1;4;false;1336;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;5;1;1;1;true;966;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;5;3;1;9;9;true;863;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;2;1;4;4;true;896;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;4;1;2;2;true;918;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;backwards;2;2;1;4;4;true;733;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;3;1;9;4;false;1351;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;2;2;1;9;9;true;995;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;forwards;5;5;1;1;1;true;1196;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;3;2;1;2;2;true;966;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;5;2;1;2;2;true;1502;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";!If;forwards;5;2;1;3;3;true;936;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"Computer science";"none";If/Else;backwards;2;1;1;1;1;true;1238;
